item_id,timestamp,target
store_001,2024-02-01,25.4
store_001,2024-02-02,26.8
store_001,2024-02-03,28.0
store_001,2024-02-04,29.1
store_001,2024-02-05,29.4
store_001,2024-02-06,28.2
store_001,2024-02-07,27.0
store_001,2024-02-08,26.4
store_001,2024-02-09,27.9
store_001,2024-02-10,29.2
store_001,2024-02-11,30.3
store_001,2024-02-12,30.7
store_001,2024-02-13,29.5
store_001,2024-02-14,28.3
store_001,2024-02-15,27.6
store_001,2024-02-16,29.1
store_001,2024-02-17,30.4
store_001,2024-02-18,31.6
store_001,2024-02-19,32.0
store_001,2024-02-20,30.8
store_001,2024-02-21,29.5
store_001,2024-02-22,28.9
store_001,2024-02-23,30.5
store_001,2024-02-24,31.7
store_001,2024-02-25,32.9
store_001,2024-02-26,33.3
store_001,2024-02-27,32.1
store_001,2024-02-28,30.9
store_001,2024-02-29,30.2
store_001,2024-03-01,31.8
store_002,2024-02-01,18.4
store_002,2024-02-02,18.9
store_002,2024-02-03,19.7
store_002,2024-02-04,20.3
store_002,2024-02-05,20.9
store_002,2024-02-06,22.0
store_002,2024-02-07,21.3
store_002,2024-02-08,19.1
store_002,2024-02-09,19.6
store_002,2024-02-10,20.4
store_002,2024-02-11,21.0
store_002,2024-02-12,21.6
store_002,2024-02-13,22.7
store_002,2024-02-14,22.0
store_002,2024-02-15,19.8
store_002,2024-02-16,20.3
store_002,2024-02-17,21.1
store_002,2024-02-18,21.7
store_002,2024-02-19,22.3
store_002,2024-02-20,23.5
store_002,2024-02-21,22.8
store_002,2024-02-22,20.6
store_002,2024-02-23,21.1
store_002,2024-02-24,21.9
store_002,2024-02-25,22.5
store_002,2024-02-26,23.1
store_002,2024-02-27,24.2
store_002,2024-02-28,23.5
store_002,2024-02-29,21.4
store_002,2024-03-01,22.0
