item_id,timestamp,target
store_001,2024-01-01,20.0
store_001,2024-01-02,21.4
store_001,2024-01-03,22.6
store_001,2024-01-04,23.8
store_001,2024-01-05,24.1
store_001,2024-01-06,22.9
store_001,2024-01-07,21.7
store_001,2024-01-08,21.1
store_001,2024-01-09,22.5
store_001,2024-01-10,23.8
store_001,2024-01-11,25.0
store_001,2024-01-12,25.3
store_001,2024-01-13,24.0
store_001,2024-01-14,22.9
store_001,2024-01-15,22.3
store_001,2024-01-16,23.8
store_001,2024-01-17,25.0
store_001,2024-01-18,26.2
store_001,2024-01-19,26.6
store_001,2024-01-20,25.4
store_001,2024-01-21,24.1
store_001,2024-01-22,23.5
store_001,2024-01-23,25.0
store_001,2024-01-24,26.3
store_001,2024-01-25,27.5
store_001,2024-01-26,27.9
store_001,2024-01-27,26.7
store_001,2024-01-28,25.5
store_001,2024-01-29,24.8
store_001,2024-01-30,26.4
store_002,2024-01-01,14.5
store_002,2024-01-02,15.0
store_002,2024-01-03,15.8
store_002,2024-01-04,16.4
store_002,2024-01-05,17.0
store_002,2024-01-06,18.1
store_002,2024-01-07,17.4
store_002,2024-01-08,15.2
store_002,2024-01-09,15.7
store_002,2024-01-10,16.5
store_002,2024-01-11,17.0
store_002,2024-01-12,17.6
store_002,2024-01-13,18.8
store_002,2024-01-14,18.1
store_002,2024-01-15,15.9
store_002,2024-01-16,16.3
store_002,2024-01-17,17.2
store_002,2024-01-18,17.8
store_002,2024-01-19,18.4
store_002,2024-01-20,19.6
store_002,2024-01-21,18.9
store_002,2024-01-22,16.7
store_002,2024-01-23,17.2
store_002,2024-01-24,18.0
store_002,2024-01-25,18.6
store_002,2024-01-26,19.2
store_002,2024-01-27,20.3
store_002,2024-01-28,19.6
store_002,2024-01-29,17.5
store_002,2024-01-30,18.1
